datetime,symbol,open,high,low,close,volume,symbol_group,asset_class,expiry
2017-11-06 00:00:00+00:00,AAPL,171.06,173.66,170.41,172.92,35026300,AAPL,STK,
2017-11-07 00:00:00+00:00,AAPL,172.58,173.91,172.28,173.48,24361500,AAPL,STK,
2017-11-08 00:00:00+00:00,AAPL,173.33,174.9,173.0,174.9,24409500,AAPL,STK,
2017-11-09 00:00:00+00:00,AAPL,173.77,174.76,171.82,174.54,29482600,AAPL,STK,
2017-11-10 00:00:00+00:00,AAPL,174.4,174.67,173.56,173.96,25145500,AAPL,STK,
2017-11-13 00:00:00+00:00,AAPL,172.8,173.79,172.7,173.26,16982100,AAPL,STK,
2017-11-14 00:00:00+00:00,AAPL,172.34,172.78,170.48,170.64,24782500,AAPL,STK,
2017-11-15 00:00:00+00:00,AAPL,169.28,169.63,167.7,168.39,29158100,AAPL,STK,
2017-11-16 00:00:00+00:00,AAPL,170.48,171.17,169.61,170.41,23637500,AAPL,STK,
2017-11-17 00:00:00+00:00,AAPL,170.35,170.69,168.95,169.46,21899500,AAPL,STK,
2017-11-20 00:00:00+00:00,AAPL,169.6,169.87,168.87,169.29,16262400,AAPL,STK,
2017-11-21 00:00:00+00:00,AAPL,170.09,172.99,170.09,172.44,25131300,AAPL,STK,
2017-11-22 00:00:00+00:00,AAPL,172.66,174.29,172.35,174.25,25588900,AAPL,STK,
2017-11-24 00:00:00+00:00,AAPL,174.39,174.79,173.94,174.26,14026700,AAPL,STK,
2017-11-27 00:00:00+00:00,AAPL,174.34,174.37,172.64,173.38,20716800,AAPL,STK,
2017-11-28 00:00:00+00:00,AAPL,173.59,174.16,171.16,172.37,26428800,AAPL,STK,
2017-11-29 00:00:00+00:00,AAPL,171.93,172.22,166.48,168.79,41666400,AAPL,STK,
2017-11-30 00:00:00+00:00,AAPL,169.74,171.44,167.76,171.15,41527200,AAPL,STK,
2017-12-01 00:00:00+00:00,AAPL,169.26,170.97,167.82,170.36,39759300,AAPL,STK,
2017-12-04 00:00:00+00:00,AAPL,171.78,171.92,168.94,169.11,32542400,AAPL,STK,
2017-12-05 00:00:00+00:00,AAPL,168.37,170.82,167.72,168.95,27350200,AAPL,STK,
2017-12-06 00:00:00+00:00,AAPL,166.82,169.51,165.78,168.32,28560000,AAPL,STK,
2017-12-07 00:00:00+00:00,AAPL,168.34,169.75,168.22,168.63,25673300,AAPL,STK,
2017-12-08 00:00:00+00:00,AAPL,169.8,170.31,168.13,168.68,23355200,AAPL,STK,
2017-12-11 00:00:00+00:00,AAPL,168.51,172.19,168.1,171.97,35273800,AAPL,STK,
2017-12-12 00:00:00+00:00,AAPL,171.45,171.69,170.76,171.0,19409200,AAPL,STK,
2017-12-13 00:00:00+00:00,AAPL,171.8,172.84,171.3,171.57,23818400,AAPL,STK,
2017-12-14 00:00:00+00:00,AAPL,171.7,172.43,170.95,171.52,20476500,AAPL,STK,
2017-12-15 00:00:00+00:00,AAPL,172.92,173.46,171.76,173.26,40169300,AAPL,STK,
2017-12-18 00:00:00+00:00,AAPL,174.17,176.48,174.15,175.7,29421100,AAPL,STK,
2017-12-19 00:00:00+00:00,AAPL,174.32,174.68,173.38,173.83,27436400,AAPL,STK,
2017-12-20 00:00:00+00:00,AAPL,174.16,174.71,172.55,173.64,23475600,AAPL,STK,
2017-12-21 00:00:00+00:00,AAPL,173.46,175.31,173.39,174.3,20949900,AAPL,STK,
2017-12-22 00:00:00+00:00,AAPL,173.97,174.71,173.79,174.3,16349400,AAPL,STK,
2017-12-26 00:00:00+00:00,AAPL,170.11,170.77,168.99,169.88,33185500,AAPL,STK,
2017-12-27 00:00:00+00:00,AAPL,169.41,170.09,169.02,169.91,21498200,AAPL,STK,
2017-12-28 00:00:00+00:00,AAPL,170.31,171.15,169.79,170.39,16480200,AAPL,STK,
2017-12-29 00:00:00+00:00,AAPL,169.83,169.9,168.53,168.54,25999900,AAPL,STK,
2018-01-02 00:00:00+00:00,AAPL,169.47,171.6,168.57,171.56,25555900,AAPL,STK,
2018-01-03 00:00:00+00:00,AAPL,171.83,173.84,171.26,171.53,29517900,AAPL,STK,
2018-01-04 00:00:00+00:00,AAPL,171.84,172.77,171.38,172.33,22434600,AAPL,STK,
2018-01-05 00:00:00+00:00,AAPL,172.74,174.66,172.35,174.29,23660000,AAPL,STK,
2018-01-08 00:00:00+00:00,AAPL,173.64,174.9,173.22,173.64,20567800,AAPL,STK,
2018-01-09 00:00:00+00:00,AAPL,173.84,174.35,172.71,173.62,21584000,AAPL,STK,
2018-01-10 00:00:00+00:00,AAPL,172.46,173.59,172.3,173.58,23959900,AAPL,STK,
2018-01-11 00:00:00+00:00,AAPL,173.88,174.78,173.78,174.57,18667700,AAPL,STK,
2018-01-12 00:00:00+00:00,AAPL,175.46,176.64,174.94,176.37,25418100,AAPL,STK,
2018-01-16 00:00:00+00:00,AAPL,177.18,178.66,175.42,175.47,29565900,AAPL,STK,
2018-01-17 00:00:00+00:00,AAPL,175.43,178.52,174.36,178.37,34386800,AAPL,STK,
2018-01-18 00:00:00+00:00,AAPL,178.64,179.37,177.53,178.53,31193400,AAPL,STK,
2018-01-19 00:00:00+00:00,AAPL,177.88,178.85,176.69,177.74,32425100,AAPL,STK,
2018-01-22 00:00:00+00:00,AAPL,176.58,177.06,175.88,176.28,27108600,AAPL,STK,
2018-01-23 00:00:00+00:00,AAPL,176.58,178.71,176.1,176.32,32689100,AAPL,STK,
2018-01-24 00:00:00+00:00,AAPL,176.53,176.58,172.5,173.51,51105100,AAPL,STK,
2018-01-25 00:00:00+00:00,AAPL,173.8,174.24,169.84,170.42,41529000,AAPL,STK,
2018-01-26 00:00:00+00:00,AAPL,171.3,171.3,169.37,170.81,39143000,AAPL,STK,
2018-01-29 00:00:00+00:00,AAPL,169.47,169.47,166.39,167.28,50640400,AAPL,STK,
